,geometry,geo_names
341,POINT (474390.9891703534 4928770.376421642 ),EMERSON AUTOMATION SOLUTIONS ROSEMOUNT INC
342,POINT (558520.1542833968 4930116.590740293 ),ROSEMOUNT INC
343,POINT (478151.1851083701 4928967.690850487 ),EATON MDH INC
344,POINT (477554.5925131807 4928825.322118882 ),ITT SCHADOW
345,POINT (481285.7365649662 4930024.260424499 ),VIKING PRESS INC
346,POINT (477565.3129262779 4934223.754950243 ),ST JUDE MEDICAL DAIG DIV
347,POINT (716675.9198112471 4938306.654340366 ),HONEYWELL ADVANCED CIRCUITS INC
348,POINT (477327.0684283291 4934224.583567503 ),IFLEX INC
349,POINT (477573.4080727795 4934268.158991188 ),"PRECISION DIVERSIFIED, IND INC"
350,POINT (478515.8621306492 4931088.088112318 ),LOGIC PD INC
351,POINT (418584.843015763 4987258.093161806 ),DURA SUPREME
352,POINT (417915.0245062491 4987244.457290241 ),MUNSON LAKES NUTRITION LLC
353,POINT (403045.7713641647 4930354.54258767 ),GOEBEL FIXTURE CO INC
354,POINT (403782.579652694 4931799.030740629 ),HAUGEN FURNITURE CO
355,POINT (402251.0623398896 4930366.457864674 ),MINNESOTA SPECIALTY YEAST LLC
356,POINT (403746.9718421727 4932077.316504093 ),HUTCHINSON TECHNOLOGY INC
357,POINT (402608.6743573082 4931949.86486057 ),HUTCHINSON MANUFACTURING INC
358,POINT (403594.2557857091 4930890.780194654 ),3M CO-HUTCHINSON
359,POINT (402679.6809507055 4931915.468565634 ),NEW DIMENSION PLATING INC
360,POINT (418826.9551918468 4931271.256594046 ),AMEREQUIP SCHWARTZ DIV
361,POINT (418866.5448165166 4931259.652046914 ),POLY FOAM INC
362,POINT (396673.7044128488 4990631.165935431 ),CUSTOM PRODUCTS OF LITCHFIELD INC
363,POINT (397433.9871981427 4991874.508556802 ),"INNOVEX, INC"
364,POINT (396528.9420913746 4991900.259539258 ),ANDERSON CHEMICAL CO
365,POINT (395976.1015043457 4993242.686861098 ),PALM INDUSTRIES INC
366,POINT (396561.3302584746 4991955.292450968 ),TOWMASTER INC
367,POINT (470896.3887090266 5046674.29809296 ),WEST TECH INC
368,POINT (471981.9376655323 4937800.07269165 ),WASHINGTON SCIENTIFIC IND LONG LAKE PLANT
369,POINT (453612.5214545854 4998694.333797734 ),SUN PATIO/ WARRIOR BOATS
370,POINT (469066.4487120493 4983325.261110783 ),ELECTROCHEMICALS INC
371,POINT (468846.6434150871 4983504.073758875 ),MACDERMID ENTHONE AMERICA LLC
372,POINT (468886.2646406773 4983548.316592515 ),INNOVEX INC.
373,POINT (698471.543768001 5006273.281191719 ),BONDHUS CORP
374,POINT (462673.1976386468 5003211.740177748 ),CARGILL KITCHEN SOLUTIONS INC
375,POINT (462871.8813246659 5002255.161330779 ),STANDARD IRON and WIRE WORKS INC
376,POINT (463021.632575439 5002332.053328053 ),TWIN CITY DIE CASTINGS CO
377,POINT (455685.8267053546 4987036.843430071 ),KNIGHT COLORS and CHEMICALS CO
378,POINT (468234.6133358489 4934373.830351437 ),CR MANUFACTURING CO
379,POINT (480163.5051544252 4991001.841079112 ),ZENITH PRODUCTS CO
380,POINT (459782.8417176768 4922512.744595406 ),BONGARDS' CREAMERIES
381,POINT (455944.4178839751 4923170.761370335 ),OAK GROVE DAIRY
382,POINT (481483.3231308027 4990098.042242483 ),CERAM-TRAZ CORP CERAMIC INDL COATINGS
383,POINT (480279.4132908717 4990301.61585646 ),UNIVERSAL PLASTICS INC
384,POINT (480169.0601360594 4990257.522490469 ),ADVANCED CIRCUITS MINNESOTA
385,POINT (478738.3861922055 4988540.245703392 ),SCIMED LIFE SYS INC
386,POINT (480952.1647808646 4988866.514887654 ),SILENT KNIGHT
387,POINT (480729.7244880555 4990822.359486138 ),WELLS CONCRETE
388,POINT (480991.2379476079 4988766.417845945 ),LSC COMMUNICATIONS / MAPLE GROVE
389,POINT (414850.1122994276 4921301.284612851 ),PLATO WOODWORK INC
390,POINT (472393.7085837994 5019781.735207252 ),CRYSTAL CABINET WORKS INC -- PRINCETON
391,POINT (471541.0852901828 5020118.8094366 ),CRYSTAL COMMERCIAL DIV
392,POINT (471787.1086872636 5019062.293478981 ),US DISTILLED PRODS CO
393,POINT (471509.3918875977 5020041.185147236 ),SMITH SYSTEM MFG CO
394,POINT (475536.8986151946 5020013.182706448 ),WESTLING MFG
395,POINT (465363.8236730018 4990876.262468706 ),DIVERSIFOAM PRODUCTS
396,POINT (473826.4959811774 4996679.263677626 ),FLEX-O-PRINT
397,POINT (474663.4097586343 4995520.523546068 ),GRACO MINNESOTA INC-KOCH CENTER
398,POINT (483056.2730473741 4923321.383777901 ),PROCHASKA LLC
399,POINT (483661.1727142236 4923453.129832471 ),CONTINENTAL MACHINES INC.
400,POINT (483072.2115485398 4923332.450054579 ),FABCON INC
401,POINT (483301.4845835423 5034519.209140047 ),HEAT-N-GLO
402,POINT (484474.2424719883 4924162.035362709 ),FLINT HILLS RESOURCES PINE BEND LLC SAVAGE
403,POINT (484011.2860144695 4923496.691099568 ),SILGAN CONTAINERS MANUFACTURING CORP
404,POINT (484604.5767790491 4905212.168176083 ),PILLSBURY GREEN GIANT FILM CONVERTING
405,POINT (478485.8984455334 4924434.563895824 ),CONKLIN CO INC
406,POINT (475336.8311258687 4922479.652539779 ),MICROSOURCE LLC
407,POINT (477405.0770084019 4924682.601037004 ),CERTAINTEED SHAKOPEE
408,POINT (478461.7438363345 4924345.781220523 ),ADC TELECOMMUNICATIONS INC
409,POINT (478326.3111391553 4924279.58410529 ),TYCO ELECTRONICS
410,POINT (478144.57155791 4924635.642780302 ),FREMONT INDUSTRIES LLC
411,POINT (479758.762854823 4924530.448754962 ),AGGREGATE INDUSTRIES - SHAKOPEE READY MIX
412,POINT (478112.9455949131 4924691.288303029 ),ANCHOR GLASS CONTAINER CORP-SHAKOPEE
413,POINT (477580.2379656121 4924737.534109746 ),INLAND CONTAINER CORP
414,POINT (474430.5515126454 4924682.506647247 ),RAHR MALTING CO
415,POINT (478390.6414552431 4924490.418799081 ),QG PRINTING II CORP
416,POINT (478192.1791140082 4924602.159483243 ),ASHLAND DISTRIBUTION CO
417,POINT (478421.82861423 4924301.482204366 ),TSUMURA INTL
418,POINT (462486.2220085078 4927728.512414558 ),ELKAY WOOD PRODUCTS CO
419,POINT (472177.2585562611 4927813.086955758 ),MANUS PRODUCTS INC
420,POINT (462642.4366678384 4928627.371927878 ),PRO-TECH INC
421,POINT (454102.2952630176 4987003.604493115 ),KNIGHT COLORS and CHEMICALS CO
422,POINT (417421.2492340145 4935710.642754089 ),DAIRY FARMERS OF AMERICA INC
423,POINT (404218.0287128984 4908405.893286549 ),HEARTLAND CORN PRODUCTS
424,POINT (403149.5278404033 4908421.634460903 ),DAIRY FARMERS OF AMERICA INC
425,POINT (547103.0778923052 4892100.823981654 ),DAIRICONCEPTS LP
426,POINT (376676.7005547426 4923223.599939373 ),TINO'S ITALIAN SPECIALTIES
427,POINT (489593.9441361519 4937447.920707513 ),WEATHER-RITE LLC
428,POINT (486869.8975919723 4936719.743030149 ),WANNER ENGINEERING INC
429,POINT (488090.2262056435 4935528.83476623 ),BYSTROM BROTHERS INC
430,POINT (486250.7971714735 4936765.45902066 ),A and L LABORATORIES INC
431,POINT (486264.5315850177 4935754.605352977 ),PRECISION PLATING INC
432,POINT (488858.7882161398 4934594.402624057 ),BOKER'S INC
433,POINT (489225.3661920801 4935371.337505964 ),FLOUR CITY ARCHITECTURAL METALS
434,POINT (489352.3885850771 4935360.019693542 ),H and B ELEVATORS INC.
435,POINT (489439.7291735109 4935359.87682034 ),HIAWATHA METALCRAFT BLDG # 2
436,POINT (489439.7291735109 4935359.87682034 ),HIAWATHA METALCRAFT
437,POINT (489357.4119826922 4933582.74579238 ),PURINA MILLS LLC
438,POINT (480145.9548440505 4934104.260556251 ),DAYTON ROGERS MANUFACTURING CO
439,POINT (488534.4058993623 4935272.551442664 ),SMITH FOUNDRY CO
440,POINT (486358.8247526881 4935287.872389031 ),MIRROR FACTORY INC
441,POINT (487024.6635068363 4934720.000800245 ),NICO PRODUCTS INC
442,POINT (487059.6764374758 4983530.058687983 ),GAF BUILDING MATERIALS CORP
443,POINT (487358.026436032 4982962.913177828 ),DIAMOND VOGEL-NORTH INC
444,POINT (487004.2393151037 4983396.865831215 ),GRAPHICS UNLIMITED INC
445,POINT (487122.5662564362 4983452.170034018 ),JAPS/OLSON CO
446,POINT (483842.8641881571 4982970.839063327 ),COLOPLAST MANUFACTURING US LLC
447,POINT (486436.1236477395 4938075.810189703 ),KEMPS LLC
448,POINT (487102.6765184351 4938007.800660369 ),PIONEER METAL FINISHING
449,POINT (486951.0932386745 4984385.656994599 ),ILLBRUCK FOAMTEC INC.
450,POINT (486517.9871875183 4984519.862737041 ),FLAME METALS MINNEAPOLIS PLANT
451,POINT (486982.6576444033 4984407.810156898 ),FEDERAL FOAM TECHNOLOGIES INC
452,POINT (490179.6653074397 4982991.277205672 ),BUREAU OF ENGRAVING INC ELECTRONICS GROUP
453,POINT (487703.6607970779 4936840.294724833 ),PARKER HANNIFIN CORP GRESEN HYDRAULICS
454,POINT (489285.337314048 4938026.038132164 ),DAIRY FRESH CO
455,POINT (490163.8510011568 4982957.97526608 ),DAVIS FROST INC
456,POINT (488777.4599063558 4938071.330122698 ),GENERAL MILLS OPERATIONS INC. PURITY OATS FACILITY
457,POINT (488046.8007113021 4933507.27343005 ),GRACO INC
458,POINT (487118.4617820923 4937963.337302102 ),GRACO MINNESOTA INC - MINNEAPOLIS
459,POINT (487975.8498710693 4938072.768693074 ),ELECTRIC MACHINERY CO LLC
460,POINT (487655.5657793953 4936596.011049903 ),LAND O'LAKES FARMLAND FEED
461,POINT (488618.1592050637 4937749.476824687 ),MINNESOTA METAL FINISHING INC
462,POINT (489277.4005266411 4938026.051266698 ),INTERPLASTIC CORP
463,POINT (488106.9786372721 4983072.562222208 ),PERMATITE MANUFACTURING
464,POINT (488872.2999542792 4937837.899023077 ),PROSPECT FOUNDRY LLC
465,POINT (487895.7560388109 4937684.138610642 ),SUPERIOR PLATING INC
466,POINT (489657.9761393892 4937781.057084472 ),TWIN CITY CHROMIUM PLATING
467,POINT (489673.6732347818 4937669.952383189 ),EXCEL METAL FINISHING
468,POINT (489640.7698727716 4936947.987607318 ),GREATBATCH LTD (D/B/A GREATBATCH MEDICAL)
469,POINT (490211.6592144162 4936513.890114295 ),H B FULLER CO
470,POINT (490165.443786392 4937447.02789255 ),KOHL and MADDEN PRINTING INK COR P
471,POINT (490441.9452628198 4936557.978111868 ),LIFECORE BIOMEDICAL INC
472,POINT (489307.1677071035 4936826.342095646 ),MCLAUGHLIN GORMLEY KING CO
473,POINT (491926.2044894765 4929968.98818638 ),PECHINEY PLASTIC PACKAGING PPMM
474,POINT (488641.97058827 4937749.435028611 ),BODYCOTE METALLURGICAL
475,POINT (499126.9309647056 4937850.615338255 ),METAL MATIC INC
476,POINT (490116.5480367161 4936614.005968745 ),NORTHERN STAR CO
477,POINT (490061.4725360913 4936936.220670084 ),RITRAMA INC
478,POINT (488177.7055232396 4982961.343180149 ),ADM MILLING CO
479,POINT (488427.0728104703 4937416.576290122 ),PRIVATE LABEL CHEMICALS INC
480,POINT (489632.4229794535 4936692.518105978 ),REICHHOLD CHEMICALS INC
481,POINT (490276.8521574098 4937635.695027452 ),TWIN CITY DIE CASTINGS CO
482,POINT (487774.0990575048 4936306.979496079 ),BUREAU OF ENGRAVING INC GRAPHICS DIV
483,POINT (487798.3131448066 4936517.984985298 ),DOUGLAS CORP
484,POINT (535412.9463566848 4935392.464770035 ),AUGSBURG FORTRESS PUBLISHING
485,POINT (487917.6619786305 4936662.164785852 ),SAMUEL BINGHAM CO
486,POINT (487989.005183925 4936606.492365673 ),VALSPAR CORP
487,POINT (483275.439645674 4934284.269685193 ),DOUGLAS CORP PLATING DIV
488,POINT (483184.2060044914 4935850.728857888 ),HONEYWELL INC
489,POINT (483763.5368047517 4935749.279919919 ),KAPAK CORP
490,POINT (476150.6728960475 4927452.942845639 ),"CURWOOD MINNESOTA, LLC"
491,POINT (483863.6827981532 4934516.046121449 ),NORTHLAND ALUMINUM PRODUCTS I NC
492,POINT (483967.7995980008 4938081.449730642 ),"NESTLE HEALTHCARE NUTRITION, INC."
493,POINT (722157.1856216288 4938203.140093666 ),SUPREME FINISHERS INC
494,POINT (487390.6493792806 4983518.287719199 ),GRACE-LEE PRODUCTS INC
495,POINT (487335.6377050829 4983596.158099636 ),HARD CHROME INC
496,POINT (487297.9359537121 4984451.610218259 ),APPLIED COATING TECHNOLOGY INC PLANT 3
497,POINT (487769.9939126827 4984072.989258333 ),MED-TEK INC
498,POINT (488595.9820720044 4983271.628141525 ),UNIVERSAL PLATING INC
499,POINT (487248.1508572986 4983196.415984659 ),PACKAGING CORP OF AMERICA
500,POINT (487155.6768085019 4984240.827649538 ),XCEL ENERGY RIVERSIDE GENERATING PLANT
501,POINT (488177.7055232396 4982961.343180149 ),WHIRL-AIR-FLOW
502,POINT (487943.9868043304 4984405.922146834 ),ZALK STEEL and SUPPLY CO
503,POINT (486453.373710707 4931133.316930375 ),AGGREGATE INDUSTRIES MINNEAPOLIS READY MIX
504,POINT (485462.608069942 4932201.817445586 ),LEJEUNE STEEL CO
505,POINT (486399.7946870563 4928312.036103195 ),FMS CORP
506,POINT (486470.4539473514 4927889.791527747 ),CONSOLIDATE PRECISION PRODUCTS-MINNEAPOLIS OPERATION
507,POINT (485695.2972267842 4929646.489669546 ),"SEAGATE TECH INC, MPS"
508,POINT (486446.8612037934 4928012.02665511 ),ONYX SPECIAL SERVICES INC
509,POINT (553594.4036178463 4983175.290879927 ),DEGUSSA CONSTRUCTION CHEMICALS OPERATIONS INC
510,POINT (486485.566915227 4927512.094545259 ),THERMO KING CORP
511,POINT (487081.983183499 4986762.679097211 ),ECO FINISHING
512,POINT (487362.9092516362 4985429.056613008 ),ADVANCED FLEX INC PLANT 2
513,POINT (488134.8769040378 4985360.921679188 ),H B FULLER CO MONARCH DIV
514,POINT (487342.0291124072 4986817.701972436 ),HB FULLER
515,POINT (488187.9923268643 4988515.733850096 ),KURT MANUFACTURING CO
516,POINT (487788.1774042068 4985339.358088951 ),ELECTRO LABORATORIES INC
517,POINT (487310.7872294928 4986951.070192177 ),LAKELAND CHEMICAL CORP
518,POINT (724467.2408096421 4991345.875473822 ),MEDTRONIC INC NEUROLOGICAL DIV
519,POINT (487381.6766863897 4986950.929555745 ),AMERICAN CONVERTERS INC
520,POINT (487160.4832582316 4986629.214484752 ),UNITED DEFENSE LP ARMAMENT SYSTEM DIV NAVY IND RESERVE
521,POINT (488142.7967538215 4985383.12458514 ),INVEST CAST INC
522,POINT (487152.807617459 4986729.209525018 ),QUEBECOR PRINTING
523,POINT (487309.7485581609 4986428.956684605 ),SAFETRAN SYSTEMS CORP E-M DIV
524,POINT (487137.3450765978 4986873.655673448 ),ATLAS MFG
525,POINT (483094.1188642984 4982972.777271466 ),HONEYWELL INTERNATIONAL INC HOME and BUILDING TECHNOLOGIES
526,POINT (483252.229926197 4937594.507891091 ),TENNANT CO
527,POINT (485359.2367231884 4932157.618272773 ),BARREL FINISH INC
528,POINT (489397.3385935787 4928850.735089115 ),GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS HQG/D
529,POINT (488815.6414564436 4927985.301682888 ),SKYWATER TECHNOLOGY FOUNDRY INC
530,POINT (488815.6414564436 4927985.301682888 ),VTC INC RIVER RIDGE
531,POINT (489245.9951679266 4928651.043301386 ),POLAR SEMICONDUCTOR LLC
532,POINT (483319.745962919 4932984.526619559 ),HONEYWELL ADVANCED CIRCUITS INC
533,POINT (482992.9301191859 4935573.528461901 ),FOOD PRODUCERS INTERNATIONAL
534,POINT (482481.000823498 4934175.287740195 ),FLAME METALS PROCESSING CORP PLANT 1
535,POINT (482854.5167482318 4934274.261010492 ),HARDCOAT INC
536,POINT (482868.5217377831 4933563.315273564 ),LINDBERG HEAT TREATING CO
537,POINT (483020.8208299811 4934096.09619458 ),LIND ELECTRONICS INC
538,POINT (482134.9409083945 4935398.108678848 ),MAGNETIC PERIPHERALS INC
539,POINT (482264.9394728828 4933576.045544701 ),SUPER RADIATOR COILS
540,POINT (482294.6086130909 4984563.506780546 ),DURA-PROCESS CO
541,POINT (481467.0610995438 4937854.85392625 ),GENERAL MILLS OPS INC JAMES FORD BELL TECHNICAL CENTER
542,POINT (482974.2773193324 4937539.692413592 ),HONEYWELL INC
543,POINT (475325.9075106619 4936342.420044251 ),HAWKINS INC
544,POINT (481276.476304839 4937822.077935333 ),LUBRICATION TECHNOLOGIES INC
545,POINT (488177.7055232396 4982961.343180149 ),DAKOTA GROWERS PASTA CO MINNESOTA DIV
546,POINT (481641.1718110879 4937676.629647083 ),NORTHERN PRINTING INK CORP
547,POINT (480523.4284810586 4930215.336619095 ),NORTRONICS CO INC
548,POINT (482309.1055658371 4984108.004070328 ),UNIVERSAL PLASTICS INC
549,POINT (482267.0517997795 4983152.761381883 ),RSP PLATING INC
550,POINT (482339.3047918433 4983630.240622767 ),TRC CIRCUITS INC
551,POINT (481551.4137729208 4986420.792756906 ),CLARIANT PLASTICS and COATINGS USA INC - MINNEAPOLIS FACILITY
552,POINT (481621.9892593555 4986309.500205496 ),CINCH
553,POINT (481441.3904179247 4986509.982987706 ),CENTRAL STATES DIVERSIFIED
554,POINT (481496.1117150956 4986365.408495541 ),ABELCONN LLC
555,POINT (482250.7300691777 4985785.602929952 ),ALPHA CERAMICS INC.
556,POINT (481456.9833020713 4986454.393203067 ),PARKER HANNIFIN HPS
557,POINT (481675.280731906 4985665.03203556 ),BELLCOMB
558,POINT (481635.9216467579 4985676.254061253 ),INNO-FLEX CORP
559,POINT (482431.2219859165 4985529.599529639 ),NORDIC PRESS INC
560,POINT (481542.6056267824 4988820.342193122 ),MENASHA PACKAGING NORTH STAR CONTAINER
561,POINT (488181.8191575209 4985183.093591777 ),MAAX US CORP.
562,POINT (482407.1887217344 4985385.250555826 ),ROBINSON RUBBER PRODUCTS CO
563,POINT (481667.9446522825 4983110.017834749 ),TECHNICAL PLATING INC
564,POINT (481704.0776348895 4987464.589095179 ),THOMAS ENGINEERING CO
565,POINT (482285.2038679576 4986851.959315945 ),TK PRODS
566,POINT (481691.4196587945 4985798.292177252 ),MINNEAPOLIS DIE CASTING LLC
567,POINT (481527.2433152867 4988953.693848996 ),MEDTRONIC INC PERFUSION SYSTEMS
568,POINT (481533.0871414595 4985532.135514559 ),AVTEC FINISHING SYSTEMS INC
569,POINT (485031.3465985451 4985634.058906016 ),HOWE CO
570,POINT (485729.5283933831 4987820.903558438 ),HIAWATHA RUBBER CO
571,POINT (485824.2324011817 4987909.563305847 ),MEDTRONIC ENERGY and COMPONENT CENTER
572,POINT (485712.9311349056 4987443.239134211 ),VISION-EASE LENS POLYCARBONATE OPS
573,POINT (485740.263952658 4985576.891103926 ),OWENS CORNING ROOFING and ASPHALT LLC
574,POINT (489200.9656221655 4930250.644501224 ),CENTURY MFG CO
575,POINT (486023.2440767574 4926935.466626085 ),ADDED VALUE TECHNOLOGY
576,POINT (485577.5548629732 4926725.392108298 ),FLAME METALS PROCESSING BLOOMINGTON
577,POINT (486349.046088769 4926857.019601282 ),PRINTED CIRCUITS INC
578,POINT (487906.6752346315 4989660.475945991 ),CARTER DAY INTL INC
579,POINT (487214.6977742052 4990095.073682594 ),CUSTOM CAST CORP
580,POINT (487276.8811058986 4989695.028865462 ),DUGAS BOWERS PLATING CO
581,POINT (486265.1844969477 4987875.271627801 ),LAMAUR CORP
582,POINT (487732.3089568314 4989060.929362536 ),FLEXCON CO INC
583,POINT (488717.9551816186 4989847.839151482 ),KURT MANUFACTURING CO
584,POINT (487906.6752346315 4989660.475945991 ),INCERTEC
585,POINT (487741.5504989864 4989771.880353953 ),LARSEN'S MANUFACTURING CO
586,POINT (487348.6002351917 4990128.133122254 ),MICRO CONTROL CO
587,POINT (488975.4595049624 4988514.323449675 ),MEDTRONIC INC
588,POINT (488190.0507745122 4989626.61784046 ),MINCO PRODUCTS INC
589,POINT (487370.1710203867 4989094.963281292 ),MINNCAST INC
590,POINT (488781.1154018229 4989947.707643628 ),ANCHOR/IBC
591,POINT (487750.2778634665 4990216.219458221 ),INTERNATIONAL BLENDING CORP
592,POINT (487297.7652346342 4936307.895648091 ),PILLSBURY CO
593,POINT (487206.602018454 4989984.000915113 ),MCQUAY INTERNATIONAL
594,POINT (487389.3269687712 4990816.804686983 ),INCERTEC
595,POINT (485522.2390084002 4990176.45675229 ),SPACE TABLES
596,POINT (487845.8507693114 4990793.699522267 ),STYLMARK INC
597,POINT (486369.1989377856 4992318.611905826 ),JOHN ROBERTS CO
598,POINT (487240.8970403485 4991383.655161856 ),ALUMIPLATE INC
599,POINT (488040.8879027337 5035508.273882891 ),LUND INDUSTRIES INC
600,POINT (487131.6439473964 4991850.450010571 ),MIDWEST FINISHING INC
601,POINT (487288.1016540594 4991372.451852705 ),STERIS INC
602,POINT (477167.4315274886 4989656.576786783 ),RMS
603,POINT (487059.8158957563 4991361.802622042 ),RAMSEY TECHNOLOGY INC
604,POINT (490096.0971395547 4990078.834800466 ),BEALKA CASTING INC
605,POINT (491892.664613568 4991320.491001156 ),PLASTI DIP INTERNATIONAL
606,POINT (483865.6252551329 4928906.55125277 ),ADC TELECOMMUNICATIONS INC
607,POINT (482278.9718003631 4929988.150110272 ),IDEUS INC
608,POINT (483192.2615466553 4929763.564362767 ),FILMTEC CORP
609,POINT (483311.1799145939 4929652.178949558 ),IMPRIMIS TECH INC
610,POINT (483841.9471410667 4928973.257225616 ),SEAGATE TECHNOLOGY
611,POINT (484080.7921183387 4929139.285246533 ),ROBERTS AUTOMATIC PRODUCTS
612,POINT (483072.7681789209 4929652.796018041 ),"SEAGATE TECH INC, OVR"
613,POINT (481289.482599241 4931323.874721768 ),HONEYWELL INC EDINA BLDG
614,POINT (483308.3255883366 4928541.400293465 ),"SEAGATE TECH INC, NSO"
615,POINT (482345.7981963986 4925333.781665314 ),DETECTOR ELECTRONICS CORP
616,POINT (483033.6133317451 4929875.055679933 ),THIELE ENGINEERING CO
617,POINT (489470.5145028608 4983103.494712908 ),HONEYWELL AEROSPACE - MINNEAPOLIS
618,POINT (483180.0853741838 4934262.300413889 ),MINNESOTA RUBBER
619,POINT (478578.5612689189 4983152.96031637 ),CONTROL DATA CORP EMPROS SYSTEMS INTERNATIONAL DIV
620,POINT (479982.4468760617 4983470.561894438 ),"BASF CORPORATION, MINNEAPOLIS SITE"
621,POINT (477534.2782991873 4493622.769489664 ),HONEYWELL SOLID STATE ELECTRONICS CENTER
622,POINT (474164.6925981023 4937802.107098033 ),"HONEYWELL INC, RESIDENTIAL and BUILDING CONTROL"
623,POINT (476355.4109103787 4982994.171538023 ),LSI CORP OF AMERICA INC
624,POINT (478719.8698503288 4982985.854999254 ),UNIVERSAL CIRCUITS INC
625,POINT (477892.6937851305 4983099.753543296 ),PROTO LABS
626,POINT (478727.274430196 4985207.605433518 ),SCHNEIDER USA INC
627,POINT (479038.94420245 4938051.09341232 ),AVECOR CARDIOVASCULAR INC
628,POINT (557535.1689272366 4983209.579824335 ),BOSTON SCIENTIFIC SCIMED INC
629,POINT (480670.0001499961 4986701.125066128 ),HUTCHINSON TECHNOLOGY INC
630,POINT (480780.3107196617 4986711.900638791 ),BOSTON SCIENTIFIC PLYMOUTH TECHNOLOGY CENTER
631,POINT (480998.1515531961 4985800.3191141 ),TWIN CITY OPTICAL
632,POINT (492906.6233226735 4982954.339826478 ),GRACE-LEE PRODUCTS INC
633,POINT (481758.5191052625 4989975.050057037 ),CATERPILLAR PAVING PRODUCTS INC
634,POINT (481803.0922844488 4989041.771834982 ),JOYNER'S DIE CASTING and PLATING INC
635,POINT (481065.4409197282 4989888.200164692 ),LOWELL INC
636,POINT (481847.3997968291 4990774.640836283 ),MIDWEST FINISHING INC.
637,POINT (481838.1662467903 4990296.982061722 ),TECHNICAL RESIN PACKAGING
638,POINT (477563.5879636355 4983645.236285714 ),BANNER ENGINEERING CORP
639,POINT (476791.0754214662 4983592.453153727 ),CIRCUIT SCIENCE INC
640,POINT (478492.502767189 4983342.100254389 ),AACRON INC
641,POINT (478263.8754993282 4983320.656666986 ),NEVERS INDUSTRIES INC
642,POINT (477894.0782666907 4983499.668116804 ),PRECISION DIVERSIFIED INDUSTRIES LLC
643,POINT (478192.3384503833 4983143.158711444 ),UPSHER-SMITH LABS INC
644,POINT (476375.9846595214 4988548.562253688 ),DANA CORP SPICER OFF-HIGHWAY PRODS DIV
645,POINT (476375.9846595214 4988548.562253688 ),DANA CORP SPICER OFF-HIGHWAY AXLE DIV
646,POINT (478479.549032892 4984175.309330778 ),DANFOSS POWER SOLUTIONS (US) CO
647,POINT (478284.9493003548 4938053.577438792 ),WAGNER SPRAY TECH CORP
648,POINT (477894.5782399559 4983644.081774862 ),WATT/PETERSON INC
649,POINT (485650.3459790202 4994619.748829359 ),BTW INC
650,POINT (485815.4815177577 4994586.0515843 ),JOHN DEERE CYLINDE DIV MINNEAPOLIS
651,POINT (489335.7711701117 4992068.556145711 ),CYLINDER CITY INC
652,POINT (492060.578153994 4993419.86447666 ),PLASTI DIP INTERNATIONAL
653,POINT (488944.5336416918 4993380.077989157 ),PLEXUS CORP BMN
654,POINT (489335.7711701117 4992068.556145711 ),PARKER HANNIFIN CORP MOBILE CYLINDER DIV
655,POINT (489328.0498291763 4992157.440477713 ),ARROW CRYOGENICS
656,POINT (489555.9932465582 4991979.319785738 ),SAFETY-KLEEN SYSTEMS BLAINE (BLA)
657,POINT (490013.0101825818 4931237.942515136 ),US AIR FORCE MINNEAPOLIS-ST PAUL IAP ARS MN
658,POINT (685538.4906920455 5243092.71040455 ),TACONITE HARBOR ENERGY CENTER
659,POINT (621591.0240910631 5208795.564760883 ),LOUISIANA-PACIFIC TWO HARBORS SIDING
660,POINT (621895.7651353076 5209135.311520581 ),STANLEY HYDRAULIC TOOLS
661,POINT (568525.9834395146 5240568.474297368 ),LASKIN ENERGY CENTER
662,POINT (560448.633790232 5240302.214301396 ),DYNO NOBEL INC
663,POINT (557414.2438292265 5138129.390994823 ),CHEMSTAR PRODUCTS CO
664,POINT (535926.7965575148 5237012.04161812 ),MN TWIST DRILL AQUISITION LLC
665,POINT (556542.3738377903 5142588.414052399 ),DIAMOND BRANDS INC
666,POINT (556705.9854347691 5142345.465179643 ),SAPPI CLOQUET LLC
667,POINT (555291.968328398 5142376.880245155 ),USG INTERIORS LLC
668,POINT (544589.1415180761 5127709.98649569 ),SPECIALTY MINERALS INC
669,POINT (471828.073832721 5221900.263016095 ),BOSWELL ENERGY CENTER
670,POINT (545669.322546875 5258096.020072296 ),AINSWORTH ENGINEERED USA LLC COOK OSB
671,POINT (552182.8692151883 5236511.109945051 ),MALTON EQUIPMENT COMPANY
672,POINT (476127.7752711917 5220281.094396127 ),BLANDIN PAPER CO
673,POINT (474117.6690232724 5220167.286180448 ),AINSWORTH ENGINEERED LLC
674,POINT (537406.355464777 5230264.203890406 ),KIMBALL ELECTRONICS HIBBING
675,POINT (533896.8153662202 5232321.242332965 ),NOBLE INDUSTRIES LTD
676,POINT (533852.5544212688 5232120.946354138 ),LandM RADIATOR INC
677,POINT (537870.6710963878 5227511.019432261 ),NORTHERN FOUNDRY
678,POINT (533949.0242146313 5232454.903691355 ),IRATHANE SYSTEMS-MINNESOTA LLC
679,POINT (538141.7342557634 5233625.192410118 ),VIKING EXPLOSIVES LLC
680,POINT (533238.7777713243 5233595.548666304 ),HIBBING PUBLIC UTILITIES COMMISSION
681,POINT (550567.8798155413 5238742.061790911 ),BORDEN CHEMICAL INC VIRGINIA PLANT
